ticker
AMT
DLR
KMB
MCD
MRK
NEE
O
OHI
VZ
INTC
WPC
LMT
MSFT
AAPL
TXN
OGN
JNJ
AFL
SWKS
CSCO
SPGI
IBM
T
KD
ONL
